item	status	exit_code	log
ImportedSearchArg	PASS	0	logs/phase3/certificates/ImportedSearchArg.log
ImportedSubadditivity	PASS	0	logs/phase3/certificates/ImportedSubadditivity.log
GeneratedSearchArgSource	PASS	0	logs/phase3/certificates/generated-source.log
PropSPropFoundation	PASS	0	logs/phase3/certificates/PropSPropFoundation.log
LogicalRelation	PASS	0	logs/phase3/certificates/LogicalRelation.log
SubadditivityNatCorrespondence	FAIL	1	logs/phase3/certificates/SubadditivityNatCorrespondence.log
SearchArgDefinitionCertificate	BLOCKED	BLOCKED	logs/phase3/certificates/SearchArgDefinitionCertificate.log
SearchArgStatementCertificate	BLOCKED	BLOCKED	logs/phase3/certificates/SearchArgStatementCertificate.log
SearchArgAssumptionAudit	BLOCKED	BLOCKED	logs/phase3/certificates/SearchArgAssumptionAudit.log
