variant	module	status	exit_code	out_sha256	log
baseline	Time	PASS	0	8b2354769dc908175b0386f4fb1b2113be48db89164e384fe34b5539264e115a	logs/phase2/imports/baseline/Time.log
baseline	SearchArg	EXPECTED_FAILURE	1	7fb1c0ab15569ef46c73490f847f6cbd393e7bc52d3ab7abc5933cfc762926dd	logs/phase2/imports/baseline/SearchArg.log
candidate	SearchArg	PASS	0	7fb1c0ab15569ef46c73490f847f6cbd393e7bc52d3ab7abc5933cfc762926dd	logs/phase2/imports/candidate/SearchArg.log
candidate	ListLast	PASS	0	5ab36259a8ad0a8b75ae649da3e01bbb7d6e88a5d34d657f8a12fe70c50f836f	logs/phase2/imports/candidate/ListLast.log
candidate	Bigcat	PASS	0	016cb75c76633ef8b5173867ea87e7019717ffbd23b88aa9f469e126241deedd	logs/phase2/imports/candidate/Bigcat.log
candidate	Time	PASS	0	8b2354769dc908175b0386f4fb1b2113be48db89164e384fe34b5539264e115a	logs/phase2/imports/candidate/Time.log
candidate	Tactics	PASS	0	34140e14c5508cedba1b3e5849c89b51e5ce81c8152f3a161d065bfcfaeafadb	logs/phase2/imports/candidate/Tactics.log
candidate	Subadditivity	PASS	0	9ca38bbffc3c1b052bb60aa3a2a091fd15aeb531f195124c604f970ca8243b50	logs/phase2/imports/candidate/Subadditivity.log
candidate	ListSimple	PASS	0	033db5ef70e40a66f0547a6af76392d1e7fe64214cff8356029e07a94ba8dd8e	logs/phase2/imports/candidate/ListSimple.log
